groupID	categoryID	groupName	description 
0	0	#System	
1	1	Character	
2	1	Corporation	
3	2	Region	
4	2	Constellation	
5	2	Solar System	
6	2	Sun	
7	2	Planet	
8	2	Moon	
9	2	Asteroid Belt	
10	2	Stargate	
11	2	Asteroid OLD	
12	2	Cargo Container	
13	2	Ring	
14	2	Biomass	Corpse of human. Can be sold for clone production.
15	3	Station	
16	3	Station Services	
17	4	Money	
18	4	Mineral	
19	1	Faction	
20	4	Drug	Drug
23	5	Clone	
24	5	Voucher	
25	6	Frigate	
26	6	Cruiser	
27	6	Battleship	
28	6	Industrial	
29	6	Capsule	
30	6	Titan	The collective name for these behemoths is Titans, the largest spacefaring vessels ever constructed. The sheer cost in resources, manpower and time, as well as the necessary technological knowledge, makes construction of a Titan-class vessel a venture only empires can usually fathom. Some of these mammoth vessels have taken decades to assemble. Many are over a century old themselves, and the three mammoth Jovian motherships, the first Titans, have origins pre-dating modern space travel. They are
31	6	Shuttle	
32	1	Alliance	
38	7	Shield Extender	
39	7	Shield Recharger	
40	7	Shield Booster	
41	7	Remote Shield Booster	
43	7	Capacitor Recharger	
46	7	Propulsion Module	
47	7	Cargo Scanner	
48	7	Ship Scanner	
49	7	Survey Scanner	
52	7	Warp Scrambler	
53	7	Energy Weapon	
54	7	Mining Laser	Mining Laser
55	7	Projectile Weapon	
56	7	Missile Launcher	
57	7	Shield Power Relay	These module usually act on the power and/or capacitor requirements of modules.
59	7	Gyrostabilizer	Uses gyroscopes and inertial dampeners to reduce recoil and stabilize the weapon while firing
60	7	Damage Control	Reinforcement are modules that increase the "armorHP" of some module group or specific module type. It typically only defines a passive effect.
61	7	Capacitor Battery	Supplement the ships built-in power battery and provides defense against enemy energy leech and energy neutralizer effects.
62	7	Armor Repair Unit	
63	7	Hull Repair Unit	
65	7	Stasis Web	Reduces max speed of a target ship.
67	7	Remote Capacitor Transmitter	Transfers some of our energy to the target ships.
68	7	Energy Vampire	
71	7	Energy Destabilizer	Target ship loses power.
72	7	Smart Bomb	Smart Bomb
74	7	Hybrid Weapon	Hybrid
76	7	Capacitor Booster	In times of danger and need, being able to boost your power supply can save your skin.  Don't leave home without one of these.  And don't forget to feed it.
77	7	Shield Hardener	Increases the resistance of the shield to damages of specified types.
78	7	Reinforced Bulkhead	
80	7	ECM Burst	Clears all targets on all ships(excluding self) wihin range.
82	7	Passive Targeting System	Targets ship quietly (as in does not alert other ship to the fact rhat its been targeted).
83	8	Projectile Ammo	Projectile Ammo
85	8	Hybrid Charge	
86	8	Frequency Crystal	the frequency of Laser weapon
87	8	Capacitor Booster Charge	Capacitor Booster Charge
88	8	Light Defender Missile	
89	8	Torpedo	Torrpedo
90	8	Bomb	Remote triggered. Have no internal Thrust or Guidance. Are dropped at 80% of ship current speed
92	8	Mine	
94	10	Trading	
95	10	Trade Session	
96	7	Automated Targeting System	Targets all hostile ships within range.
97	18	Proximity Drone	ProximityDrone
98	7	Armor Coating	
99	11	Sentry Gun	Protecting the weak and upholding the law, these shining examples of fabrication maintain the peace.
100	18	Combat Drone	
101	18	Mining Drone	Mines.
104	9	Clone Blueprint	
105	9	Frigate Blueprint	
106	9	Cruiser Blueprint	
107	9	Battleship Blueprint	
108	9	Industrial Blueprint	
109	9	Capsule Blueprint	
110	9	Titan Blueprint	
111	9	Shuttle Blueprint	
118	9	Shield Extender Blueprint	
119	9	Shield Recharger Blueprint	
120	9	Shield Booster Blueprint	
121	9	Remote Shield Booster Blueprint	
123	9	Capacitor Recharger Blueprint	
126	9	Propulsion Module Blueprint	
127	9	Cargo Scanner Blueprint	
128	9	Ship Scanner Blueprint	
129	9	Survey Scanner Blueprint	
130	9	ECM Blueprint	
131	9	ECCM Blueprint	
132	9	Warp Scrambler Blueprint	
133	9	Energy Weapon Blueprint	
134	9	Mining Laser Blueprint	
135	9	Projectile Weapon Blueprint	
136	9	Missile Launcher Blueprint	
137	9	Power Manager Blueprint	
139	9	Fast Loader Blueprint	
140	9	Damage Control Blueprint	
141	9	Capacitor Battery Blueprint	
142	9	Armor Repair Unit Blueprint	
143	9	Hull Repair Unit Blueprint	
145	9	Stasis Web Blueprint	
147	9	Remote Capacitor Transmitter Blueprint	
148	9	Energy Vampire Blueprint	
151	9	Energy Destabilizer Blueprint	
152	9	Smart Bomb Blueprint	
154	9	Hybrid Weapon Blueprint	
156	9	Capacitor Booster Blueprint	
157	9	Shield Hardener Blueprint	
158	9	Hull Mods Blueprint	
160	9	ECM Burst Blueprint	
161	9	Passive Targeting System Blueprint	
162	9	Automated Targeting System Blueprint	
163	9	Armor Coating Blueprint	
165	9	Projectile Ammo Blueprint	
166	9	Missile Blueprint	
167	9	Hybrid Charge Blueprint	
168	9	Frequency Crystal Blueprint	
169	9	Capacitor Booster Charge Blueprint	
170	9	Defender Missile Blueprint	
172	9	Bomb Blueprint	
174	9	Mine Blueprint	
175	9	Proximity Drone Blueprint	
176	9	Combat Drone Blueprint	
177	9	Mining Drone Blueprint	
178	9	Drug Blueprint	
180	11	Protective Sentry Gun	Defends all within its observation range who get attacked.
182	11	Police Drone	Ho hum.
185	11	Pirate Drone	
186	2	Wreck	Shipwrecks and stuff like that
190	14	Bloodline Bonus	Bonuses for the given bloodlines.
191	14	Physical Benefit	Physical Benefit
192	14	Physical Handicap	Physical Handicap.
193	14	Phobia Handicap	Phobia handicap
194	14	Social Handicap	Social handicap.
195	14	Amarr Education	Bonuses for having various Amarr educations.
196	14	Caldari Education	Bonuses for having various Caldari educations.
197	14	Gallente Education	Bonuses for having a variety of Gallente educations.
198	14	Minmatar Education	A variety of bonuses for having a Minmatar education.
199	14	Career Bonus	Bonus for taking a career or some sh1t.
201	7	ECM	Electronic Countermeasure
202	7	ECCM	
203	7	Sensor Backup Array	An upgrade to the electronics capacilities of the ship 1.
205	7	Heat Sink	
208	7	Remote Sensor Damper	Electronic Warfare System 2
209	7	Remote Tracking Computer	Remote Tracking Computer, formerly known as Tracking Links.
210	7	Signal Amplifier	
211	7	Tracking Enhancer	
