typeID,groupID,typeName,marketGroupID,metaGroupID,metaLevel
0,0,#System,NULL,NULL,NULL
2,2,Corporation,NULL,NULL,NULL
3,3,Region,NULL,NULL,NULL
4,4,Constellation,NULL,NULL,NULL
5,5,Solar System,NULL,NULL,NULL
6,6,Sun G5 (Yellow),NULL,NULL,NULL
7,6,Sun K7 (Orange),NULL,NULL,NULL
8,6,Sun K5 (Red Giant),NULL,NULL,NULL
9,6,Sun B0 (Blue),NULL,NULL,NULL
10,6,Sun F0 (White),NULL,NULL,NULL
11,7,Planet (Temperate),NULL,NULL,NULL
12,7,Planet (Ice),NULL,NULL,NULL
13,7,Planet (Gas),NULL,NULL,NULL
14,8,Moon,NULL,NULL,NULL
15,9,Asteroid Belt,NULL,NULL,NULL
16,10,Stargate (Caldari System),NULL,NULL,NULL
17,10,Stargate (Amarr Constellation),NULL,NULL,NULL
18,458,Plagioclase,516,NULL,NULL
19,461,Spodumain,517,NULL,NULL
20,457,Kernite,523,NULL,NULL
21,454,Hedbergite,527,NULL,NULL
22,450,Arkonor,512,NULL,NULL
23,12,Cargo Container,NULL,NULL,NULL
24,13,Ring,NULL,NULL,NULL
25,14,Corpse,NULL,NULL,NULL
26,16,Office Folder,NULL,NULL,NULL
27,16,Office,NULL,NULL,NULL
28,16,Factory Folder,NULL,NULL,NULL
29,17,Credits,NULL,NULL,NULL
30,19,Faction,NULL,NULL,NULL
34,18,Tritanium,1857,NULL,NULL
35,18,Pyerite,1857,NULL,NULL
36,18,Mexallon,1857,NULL,NULL
37,18,Isogen,1857,NULL,NULL
38,18,Nocxium,1857,NULL,NULL
39,18,Zydrine,1857,NULL,NULL
40,18,Megacyte,1857,NULL,NULL
41,280,Garbage,20,NULL,NULL
42,280,Spiced Wine,492,NULL,NULL
43,280,Antibiotics,492,NULL,NULL
44,1034,Enriched Uranium,1335,NULL,NULL
45,281,Frozen Plant Seeds,492,NULL,NULL
49,24,Player Kill,NULL,NULL,NULL
50,24,Company Shares,NULL,NULL,NULL
51,24,Bookmark,NULL,NULL,NULL
52,94,Trading,NULL,NULL,NULL
53,95,Trade Session,NULL,NULL,NULL
54,15,Caldari Logistics Station,NULL,NULL,NULL
56,15,Gallente Military Station,NULL,NULL,NULL
57,15,Gallente Station Hub ,NULL,NULL,NULL
58,15,C-O-1,NULL,NULL,NULL
59,15,C-O-2,NULL,NULL,NULL
